Year,GDP
1929,201199
1930,199401
1931,189487
1932,190313
1933,196582
1934,208781
1935,216459
1936,227102
1937,234975
1938,236530
1939,247514
1940,275458
1941,300924
1942,307047
1943,312539
1944,297376
1945,281582
1946,273320
1947,269723
1948,279589
1949,289269
1950,298626
1951,306197
1952,307240
1953,319087
1954,331876
1955,343336
